1 , 7182
2 , 7175
3 , 7138
4 , 7103
5 , 7066
6 , 6999
7 , 6969
8 , 6911
9 , 6884
10 , 6798
11 , 6733
12 , 6669
13 , 6629
14 , 6561
15 , 6518
16 , 6498
17 , 6443
18 , 6413
19 , 6349
20 , 6290
21 , 6240
22 , 6188
23 , 6142
24 , 6074
25 , 6015
26 , 5954
27 , 5907
28 , 5865
29 , 5784
30 , 5722
31 , 5660
32 , 5613
33 , 5584
34 , 5548
35 , 5521
36 , 5508
37 , 5440
38 , 5376
39 , 5336
40 , 5276
41 , 5205
42 , 5132
43 , 5065
44 , 5019
45 , 4964
46 , 4900
47 , 4838
48 , 4796
49 , 4726
50 , 4667
51 , 4619
52 , 4579
53 , 4519
54 , 4487
55 , 4432
56 , 4393
57 , 4327
58 , 4257
59 , 4211
60 , 4164
61 , 4101
62 , 4023
63 , 3937
64 , 3881
65 , 3857
66 , 3821
67 , 3792
68 , 3758
69 , 3704
70 , 3655
71 , 3625
72 , 3598
73 , 3546
74 , 3511
75 , 3472
76 , 3457
77 , 3420
78 , 3383
79 , 3339
80 , 3315
81 , 3278
82 , 3246
83 , 3213
84 , 3179
85 , 3164
86 , 3126
87 , 3090
88 , 3070
89 , 3046
90 , 3027
91 , 3014
92 , 2996
93 , 2930
94 , 2904
95 , 2851
96 , 2812
97 , 2759
98 , 2741
99 , 2723
100 , 2675
101 , 2650
102 , 2640
103 , 2613
104 , 2597
105 , 2574
106 , 2561
107 , 2553
108 , 2506
109 , 2505
110 , 2464
111 , 2453
112 , 2426
113 , 2404
114 , 2377
115 , 2349
116 , 2343
117 , 2306
118 , 2289
119 , 2266
120 , 2240
121 , 2209
122 , 2192
123 , 2172
124 , 2144
125 , 2134
126 , 2100
127 , 2078
128 , 2054
129 , 2031
130 , 2013
131 , 1997
132 , 1975
133 , 1950
134 , 1921
135 , 1895
136 , 1885
137 , 1853
138 , 1827
139 , 1810
140 , 1798
141 , 1771
142 , 1745
143 , 1727
144 , 1701
145 , 1690
146 , 1664
147 , 1646
148 , 1647
149 , 1634
150 , 1624
151 , 1594
152 , 1584
153 , 1560
154 , 1548
155 , 1522
156 , 1505
157 , 1490
158 , 1484
159 , 1466
160 , 1430
161 , 1415
162 , 1411
163 , 1398
164 , 1385
165 , 1373
166 , 1362
167 , 1338
168 , 1316
169 , 1297
170 , 1283
171 , 1266
172 , 1250
173 , 1228
174 , 1212
175 , 1189
176 , 1174
177 , 1165
178 , 1152
179 , 1144
180 , 1124
181 , 1112
182 , 1088
183 , 1077
184 , 1073
185 , 1052
186 , 1043
187 , 1031
188 , 1022
189 , 1007
190 , 998
191 , 983
192 , 973
193 , 968
194 , 950
195 , 944
196 , 933
197 , 929
198 , 910
199 , 917
200 , 899
