1,7201,7182,7302,,,,,
2,7226,7175,7442,,,,,
3,7262,7138,7595,,,,,
4,7201,7103,7655,,,,,
5,7161,7066,7789,,,,,
6,7142,6999,7887,,,,,
7,7128,6969,8006,,,,,
8,7097,6911,8086,,,,,
9,7098,6884,8201,,,,,
10,7066,6798,8329,,,,,
11,7015,6733,8434,,,,,
12,7039,6669,8552,,,,,
13,7047,6629,8603,,,,,
14,7033,6561,8717,,,,,
15,7074,6518,8816,,key:,dartProb,,
16,7079,6498,8961,,year,0.43,0.5,0.3
17,7057,6443,9061,,,,,
18,7079,6413,9174,,,,,
19,7060,6349,9330,,,,,
20,7036,6290,9430,,,,,
21,6997,6240,9567,,,,,
22,7016,6188,9725,,,,,
23,7007,6142,9869,,,,,
24,7036,6074,10027,,,,,
25,7022,6015,10178,,,,,
26,7041,5954,10311,,,,,
27,7036,5907,10474,,,,,
28,7059,5865,10632,,,,,
29,7055,5784,10780,,,,,
30,7063,5722,10943,,,,,
31,7054,5660,11117,,,,,
32,7054,5613,11258,,,,,
33,7100,5584,11472,,,,,
34,7097,5548,11638,,,,,
35,7067,5521,11858,,,,,
36,7073,5508,12079,,,,,
37,7087,5440,12288,,,,,
38,7083,5376,12564,,,,,
39,7089,5336,12770,,,,,
40,7088,5276,12988,,,,,
41,7090,5205,13220,,,,,
42,7097,5132,13470,,,,,
43,7095,5065,13714,,,,,
44,7116,5019,14024,,,,,
45,7140,4964,,,,,,
46,7149,4900,,,,,,
47,7125,4838,,,,,,
48,7125,4796,,,,,,
49,7109,4726,,,,,,
50,7145,4667,,,,,,
51,7118,4619,,,,,,
52,7157,4579,,,,,,
53,7164,4519,,,,,,
54,7175,4487,,,,,,
55,7197,4432,,,,,,
56,7177,4393,,,,,,
57,7171,4327,,,,,,
58,7172,4257,,,,,,
59,7172,4211,,,,,,
60,7162,4164,,,,,,
61,7191,4101,,,,,,
62,7144,4023,,,,,,
63,7122,3937,,,,,,
64,7086,3881,,,,,,
65,7083,3857,,,,,,
66,7118,3821,,,,,,
67,7134,3792,,,,,,
68,7159,3758,,,,,,
69,7143,3704,,,,,,
70,7151,3655,,,,,,
71,7168,3625,,,,,,
72,7197,3598,,,,,,
73,7162,3546,,,,,,
74,7162,3511,,,,,,
75,7165,3472,,,,,,
76,7168,3457,,,,,,
77,7179,3420,,,,,,
78,7186,3383,,,,,,
79,7177,3339,,,,,,
80,7163,3315,,,,,,
81,7160,3278,,,,,,
82,7155,3246,,,,,,
83,7170,3213,,,,,,
84,7144,3179,,,,,,
85,7133,3164,,,,,,
86,7153,3126,,,,,,
87,7145,3090,,,,,,
88,7128,3070,,,,,,
89,7155,3046,,,,,,
90,7186,3027,,,,,,
91,7176,3014,,,,,,
92,7174,2996,,,,,,
93,7207,2930,,,,,,
94,7203,2904,,,,,,
95,7197,2851,,,,,,
96,7213,2812,,,,,,
97,7213,2759,,,,,,
98,7232,2741,,,,,,
99,7255,2723,,,,,,
100,7253,2675,,,,,,
101,7283,2650,,,,,,
102,7279,2640,,,,,,
103,7288,2613,,,,,,
104,7262,2597,,,,,,
105,7275,2574,,,,,,
106,7269,2561,,,,,,
107,7290,2553,,,,,,
108,7299,2506,,,,,,
109,7323,2505,,,,,,
110,7348,2464,,,,,,
111,7349,2453,,,,,,
112,7330,2426,,,,,,
113,7332,2404,,,,,,
114,7342,2377,,,,,,
115,7307,2349,,,,,,
116,7291,2343,,,,,,
117,7290,2306,,,,,,
118,7303,2289,,,,,,
119,7338,2266,,,,,,
120,7372,2240,,,,,,
121,7371,2209,,,,,,
122,7365,2192,,,,,,
123,7391,2172,,,,,,
124,7412,2144,,,,,,
125,7433,2134,,,,,,
126,7441,2100,,,,,,
127,7450,2078,,,,,,
128,7426,2054,,,,,,
129,7410,2031,,,,,,
130,7396,2013,,,,,,
131,7409,1997,,,,,,
132,7400,1975,,,,,,
133,7385,1950,,,,,,
134,7390,1921,,,,,,
135,7371,1895,,,,,,
136,7354,1885,,,,,,
137,7363,1853,,,,,,
138,7346,1827,,,,,,
139,7386,1810,,,,,,
140,7379,1798,,,,,,
141,7404,1771,,,,,,
142,7434,1745,,,,,,
143,7446,1727,,,,,,
144,7477,1701,,,,,,
145,7438,1690,,,,,,
146,7463,1664,,,,,,
147,7465,1646,,,,,,
148,7503,1647,,,,,,
149,7508,1634,,,,,,
150,7504,1624,,,,,,
151,7477,1594,,,,,,
152,7503,1584,,,,,,
153,7484,1560,,,,,,
154,7473,1548,,,,,,
155,7462,1522,,,,,,
156,7462,1505,,,,,,
157,7465,1490,,,,,,
158,7461,1484,,,,,,
159,7444,1466,,,,,,
160,7445,1430,,,,,,
161,7446,1415,,,,,,
162,7443,1411,,,,,,
163,7443,1398,,,,,,
164,7475,1385,,,,,,
165,7463,1373,,,,,,
166,7442,1362,,,,,,
167,7441,1338,,,,,,
168,7449,1316,,,,,,
169,7448,1297,,,,,,
170,7433,1283,,,,,,
171,7417,1266,,,,,,
172,7407,1250,,,,,,
173,7422,1228,,,,,,
174,7443,1212,,,,,,
175,7450,1189,,,,,,
176,7491,1174,,,,,,
177,7521,1165,,,,,,
178,7605,1152,,,,,,
179,7595,1144,,,,,,
180,7576,1124,,,,,,
181,7582,1112,,,,,,
182,7589,1088,,,,,,
183,7600,1077,,,,,,
184,7571,1073,,,,,,
185,7579,1052,,,,,,
186,7536,1043,,,,,,
187,7563,1031,,,,,,
188,7521,1022,,,,,,
189,7519,1007,,,,,,
190,7539,998,,,,,,
191,7507,983,,,,,,
192,7528,973,,,,,,
