1 , 0.00
2 , 0.00
3 , 0.00
4 , 0.00
5 , 0.00
6 , 0.00
7 , 0.01
8 , 0.01
9 , 0.01
10 , 0.02
11 , 0.02
12 , 0.03
13 , 0.04
14 , 0.04
15 , 0.05
16 , 0.05
17 , 0.06
18 , 0.07
19 , 0.08
20 , 0.09
21 , 0.10
22 , 0.11
23 , 0.12
24 , 0.12
25 , 0.13
26 , 0.14
27 , 0.15
28 , 0.16
29 , 0.17
30 , 0.18
31 , 0.19
32 , 0.20
33 , 0.21
34 , 0.22
35 , 0.23
36 , 0.24
37 , 0.26
38 , 0.27
39 , 0.28
40 , 0.29
41 , 0.30
42 , 0.31
43 , 0.31
44 , 0.32
45 , 0.33
46 , 0.34
47 , 0.35
48 , 0.35
49 , 0.36
50 , 0.37
51 , 0.38
52 , 0.40
53 , 0.41
54 , 0.42
55 , 0.43
56 , 0.44
57 , 0.45
58 , 0.46
59 , 0.46
60 , 0.47
61 , 0.48
62 , 0.49
63 , 0.50
64 , 0.51
65 , 0.51
66 , 0.52
67 , 0.53
68 , 0.54
69 , 0.54
70 , 0.55
71 , 0.55
72 , 0.56
73 , 0.57
74 , 0.57
75 , 0.57
76 , 0.58
77 , 0.59
78 , 0.59
79 , 0.60
80 , 0.61
81 , 0.62
82 , 0.63
83 , 0.63
84 , 0.64
85 , 0.64
86 , 0.65
87 , 0.65
88 , 0.66
89 , 0.67
90 , 0.67
91 , 0.68
92 , 0.68
93 , 0.69
94 , 0.70
95 , 0.70
96 , 0.70
97 , 0.71
98 , 0.71
99 , 0.72
100 , 0.72
101 , 0.73
102 , 0.73
103 , 0.73
104 , 0.74
105 , 0.74
106 , 0.75
107 , 0.75
108 , 0.76
109 , 0.77
110 , 0.77
111 , 0.77
112 , 0.78
113 , 0.78
114 , 0.78
115 , 0.79
116 , 0.79
117 , 0.80
118 , 0.80
119 , 0.81
120 , 0.81
121 , 0.82
122 , 0.82
123 , 0.82
124 , 0.82
125 , 0.83
126 , 0.83
127 , 0.83
128 , 0.83
129 , 0.84
130 , 0.84
131 , 0.84
132 , 0.84
133 , 0.85
134 , 0.85
135 , 0.85
136 , 0.85
137 , 0.86
138 , 0.86
139 , 0.86
140 , 0.86
141 , 0.87
142 , 0.87
143 , 0.87
144 , 0.87
145 , 0.88
146 , 0.88
147 , 0.88
148 , 0.88
149 , 0.89
150 , 0.89
151 , 0.89
152 , 0.89
153 , 0.89
154 , 0.89
155 , 0.89
156 , 0.89
157 , 0.89
158 , 0.89
159 , 0.90
160 , 0.90
161 , 0.90
162 , 0.90
163 , 0.90
164 , 0.90
165 , 0.91
166 , 0.91
167 , 0.91
168 , 0.91
169 , 0.91
170 , 0.91
171 , 0.92
172 , 0.92
173 , 0.92
174 , 0.92
175 , 0.92
176 , 0.93
177 , 0.93
178 , 0.93
179 , 0.93
180 , 0.93
181 , 0.93
182 , 0.93
183 , 0.93
184 , 0.93
185 , 0.93
186 , 0.93
187 , 0.94
188 , 0.94
189 , 0.94
190 , 0.94
191 , 0.94
192 , 0.94
193 , 0.94
194 , 0.94
195 , 0.95
196 , 0.95
197 , 0.95
198 , 0.95
199 , 0.95
200 , 0.95
201 , 0.95
